"";"location_adress";"year";"day";"date_from_to";"weeknr";"time_from";"time_to";"event_naam";"location";"openbareruimtenaam";"rdx";"rdy";"lon.x";"lat.x";"nday";"location_ch";"lon.y";"lat.y"
"4305";"wilhelminapark,utrecht";2015;"vrijdag";"02-10-2015 t/m 04-10-2015";"40";"16:00";"18:00";"magic Circus";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"vrijdag";"Wilhelminapark";5,1418167;52,0905758
"4306";"wilhelminapark,utrecht";2014;"woensdag";"13-08-2014";"33";"17:00";"19:00";"UIT bbq Wilhelminapark";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"woensdag";"Wilhelminapark";5,1418167;52,0905758
"4307";"wilhelminapark,utrecht";2015;"zondag";"09-08-2015";"32";"13:00";"21:00";"USC Chilldag Wilhelminapark";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4308";"wilhelminapark,utrecht";2011;"donderdag";"18-08-2011";"33";"16:00";"19:00";"Smart & Sexy picknick";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"donderdag";"Wilhelminapark";5,1418167;52,0905758
"4309";"wilhelminapark,utrecht";2011;"woensdag";"06-07-2011 t/m 08-07-2011";"27";"19:30";"22:00";"Voorjaarsconcerten USConcert";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"woensdag";"Wilhelminapark";5,1418167;52,0905758
"4310";"wilhelminapark,utrecht";2016;"dinsdag";"23/05/2016";"18";"17:00";"23:00";"Zes Uurs Loop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"dinsdag";"Wilhelminapark";5,1418167;52,0905758
"4311";"wilhelminapark,utrecht";2013;"maandag";"05-05-2013";"19";"14:00";"0:00";"Zesuursloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"maandag";"Wilhelminapark";5,1418167;52,0905758
"4312";"wilhelminapark,utrecht";2011;"donderdag";"12-05-2011";"19";"17:00";"23:30";"ZesUursloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"donderdag";"Wilhelminapark";5,1418167;52,0905758
"4313";"wilhelminapark,utrecht";2016;"zondag";"16-10-2016";"41";"10:00";"15:00";"Maliebaanloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4314";"wilhelminapark,utrecht";2013;"maandag";"20-05-2013 t/m 17-06-2013";"21";"";"";"Objectvergunning wilhelmina Revisited";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"maandag";"Wilhelminapark";5,1418167;52,0905758
"4315";"wilhelminapark,utrecht";2015;"zondag";"01-07-2015 t/m 05-07-2015";"27";"06:00 15:00";"18:00 23:00";"Grand depart";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4316";"wilhelminapark,utrecht";2014;"zondag";"28-09-2014";"39";"06:00";"22:00";"Singelloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4317";"wilhelminapark,utrecht";2013;"zaterdag";"29-06-2013";"26";"11:00";"23:00";"Roze Zaterdag";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zaterdag";"Wilhelminapark";5,1418167;52,0905758
"4318";"wilhelminapark,utrecht";2012;"zondag";"03/06/2012";"22";"12:00";"19:00";"Dag van het Wilhelminapark";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4319";"wilhelminapark,utrecht";2016;"vrijdag";"7-10-2016 t/m 09-10-2016";"40";"16:00";"18:00";"Magic Circus";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"vrijdag";"Wilhelminapark";5,1418167;52,0905758
"4320";"wilhelminapark,utrecht";2015;"zondag";"18/10/2015";"42";"10:00";"15:00";"Maliebaanloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4321";"wilhelminapark,utrecht";2012;"zaterdag";"12/05/2012";"19";"12:00";"18:00";"Cricket in het park";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zaterdag";"Wilhelminapark";5,1418167;52,0905758
"4322";"wilhelminapark,utrecht";2014;"vrijdag";"03-10-2014 t/m 05-10-2014";"40";"16:00";"20:00";"Magic Circus";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"vrijdag";"Wilhelminapark";5,1418167;52,0905758
"4323";"wilhelminapark,utrecht";2015;"maandag";"10-08-2015";"33";"17:00";"18:00";"UIT Straatparade";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"maandag";"Wilhelminapark";5,1418167;52,0905758
"4324";"wilhelminapark,utrecht";2013;"zondag";"26-05-2013";"21";"13:00";"18:30";"Dag van het Wilhelminapark";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4325";"wilhelminapark,utrecht";2015;"maandag";"10-08-2015";"33";"10:00";"14:30";"Lunches tijdens de UIT 2015";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"maandag";"Wilhelminapark";5,1418167;52,0905758
