year;day;date_from_to;weeknr;time_from;time_to;event_naam;location;openbareruimtenaam;rdx;rdy;lon;lat
2011;zaterdag;16-04-2011;15;;;Parapluvergunning Belangenvereniging Hoog Catharijne;Hoog Catharijne;;;;;
2011;woensdag;16-04-2011;15;14:00;18:00;Springdance 2011;Neude;Neude;136588;456080;5.118539;52.092668
2011;zaterdag;16-04-2011;15;09:00;06:00;Bewonersrommelmarkt;van lennepstraat;;;;;
2011;zaterdag;16-04-2011;15;09:00;06:00;Bewonersrommelmarkt;Douwes Dekkerstraat;Douwes Dekkerstraat;135442;456248;5.101807;52.094138
2011;zaterdag;16-04-2011;15;09:00;06:00;Bewonersrommelmarkt;Vosmaerstraat;Vosmaerstraat;135471;456258;5.102221;52.094230
2011;zaterdag;16-04-2011;15;09:00;06:00;Bewonersrommelmarkt;M.P. Lindostraat;M.P. Lindostraat;135536;456197;5.103170;52.093682
2011;zaterdag;16-04-2011;15;10:00;17:00;Wijkfeest Rivierenwijk;Amerhof;Amerhof;136484;453645;5.117142;52.070783
2011;zaterdag;16-04-2011;15;10:00;17:00;Wijkfeest Rivierenwijk;Lingestraat;Lingestraat;136486;453758;5.117177;52.071794
2011;zaterdag;16-04-2011;15;10:00;17:00;Wijkfeest Rivierenwijk;Dommelstraat;Dommelstraat;136179;454006;5.112682;52.074012
2011;zaterdag;16-04-2011;15;10:00;17:00;Wijkfeest Rivierenwijk;Schipbeekstraat;Schipbeekstraat;136211;454010;5.113151;52.074056
2011;zaterdag;16-04-2011;15;10:00;17:00;Wijkfeest Rivierenwijk;Schiestraat;;;;;
2011;zaterdag;16-04-2011;15;10:00;17:00;Wijkfeest Rivierenwijk;Spaarnestraat;Spaarnestraat;136122;453968;5.111854;52.073672
2011;zaterdag;16-04-2011;15;10:00;15:00;Kinderkermis Kinderdagverblijf Jolie;Karawanken;Karawanken;137583;453023;5.133203;52.065229
2011;zaterdag;16-04-2011 t/m 17-04-2011;15;12:00;22:00;Ouderdagen;Hieronymusplantsoen;Hieronymusplantsoen;137141;455864;5.126617;52.090745
2011;zondag;17-04-2011;15;07:00;17:00;Rommelmarkt verdomhoekje;J.J.A.Goeverneurstraat;;;;;
2011;zondag;17-04-2011;15;07:00;17:00;Rommelmarkt verdomhoekje;Genestetstraat;;;;;
2011;zondag;17-04-2011;15;07:00;17:00;Rommelmarkt verdomhoekje;Kinkerstraat;;;;;
